exp_name,accuracy_val,loss_val,accuracy_train,loss_train,time
effnetb1_noisystudnet,0.8286516853932584,0.760622110694982,0.9327944015444015,0.21017135243007046,526.4551002979279
resnet50_imagenet,0.7938202247191011,0.7460025112950396,0.8184121621621622,0.566852006816726,1175.5236184597015
custom_cnn_ks5_layers4,0.6174157303370786,1.1936080648657983,0.5329391891891891,1.3809025338257603,374.51082849502563
resnet50_scratch,0.5808988764044943,1.3513550139545052,0.5296814671814671,1.389398775505743,1178.7655985355377
custom_cnn_ks3_layers4,0.574438202247191,1.3059596803750888,0.5131515444015444,1.4159538205065791,352.37847542762756
vgg16_imagenet,0.571067415730337,1.2810380780295039,0.536800193050193,1.3391795519696241,1825.4635877609253
vgg16_sratch,0.5648876404494382,1.3285036237052317,0.5229247104247104,1.3868277912894726,2349.1532633304596
effnetb1_scratch,0.5457865168539325,1.3743133952108655,0.4828667953667954,1.4928174923285555,1424.8305208683014
custom_cnn_ks3_layers3,0.4205056179775281,1.7011464408274444,0.39128861003861004,1.7787562829647283,178.47636938095093
custom_cnn_ks5_layers4_2mlp,0.40898876404494383,1.6762929514552771,0.38803088803088803,1.7559846381883366,229.90081977844238
custom_cnn_ks3_layers2,0.3963483146067416,1.7665997815935803,0.36824324324324326,1.841534323213644,170.31295132637024
